gauge_id,cwc_lat,cwc_lon,ghi_lat,ghi_lon,elev_mean,elev_median,elev_min,elev_max,slope_mean,slope_median,slope_min,slope_max,cwc_area,ghi_area,gauge_elevation,dpsbar
3001,18.3861,80.3917,18.38958,80.39792,206.6151453,194,80,483,5.930142901,3.200294733,0,69.85681152,1537,1633,96,4.150682917
3002,19.2967,81.7889,19.29786,81.78958,622.653992,625,535,783,3.028556683,2.68021369,0,39.35842133,1968,1931.8,541,2.54963375
3003,20.7783,79.8514,20.7771,79.85207,281.7123208,268,216,712,3.269896244,1.622219443,0,65.85194397,2150,2481.4,221,2.342870004
3004,20.0336,76.9583,20.03544,76.95623,574.1289674,563,488,740,2.160027476,1.622219443,0,19.44652748,2900,2766.1,490,2.475454319
3005,19.6867,79.7856,19.68537,79.78542,404.3925749,338,144,1204,3.946640423,2.074370861,0,116.3840637,50990,51469.4,146,4.225263319
3006,22.3244,79.4678,22.32293,79.46876,618.8833245,615,527,844,2.462561835,1.738614082,0,57.66114807,1200,1081.4,529,3.468341467
3007,21.8053,80.175,21.79793,80.17704,529.0504612,531,286,1028,4.47286575,2.458771706,0,73.57512665,8100,8601.5,305,5.01116739
3008,19.8139,79.3794,19.81458,79.38126,364.6207389,344,106,946,3.274947583,1.779052377,0,108.7554245,46020,46334.2,161,3.437317544
3009,18.705,77.545,18.71038,77.54375,493.5038492,498,353,668,3.499383645,2.666912317,0,29.10052299,2105,2117.2,355,4.176664222
3010,17.6681,80.8772,17.66874,80.87709,433.2507064,426,25,1528,4.112398658,2.004624128,0,156.9631348,280505,277518.1,34,4.228037822
3011,19.0989,77.9606,19.0979,77.96043,431.226718,438,347,542,3.765020508,2.400221109,0,34.54294968,1500,707.5,350,3.411688175
3012,21.15,79.6672,21.15208,79.66874,441.2709865,409,238,1028,4.334463272,2.207262754,0,116.3840637,20435,20929.3,239,4.743199403
3013,19.3303,79.5042,19.33125,79.50625,375.99271,384,160,656,8.145506079,4.588329315,0,70.93083954,3100,3182,168,8.120645244
3014,21.1072,78.1331,21.10625,78.13544,470.677791,434,287,946,4.402450513,2.301902294,0,108.7554245,5000,4983.6,306,5.187127927
3015,21.6978,78.8592,21.6979,78.8604,522.7416166,531,341,671,7.795798624,5.439455032,0,44.19235229,325,527,347,11.856662
3016,21.2658,79.1692,21.26461,79.17292,609.1720045,623,244,1204,5.499334552,3.415314198,0,65.44865417,10700,10112.1,276,6.612735224
3017,19.6464,81.4861,19.64793,81.48539,650.2287689,637,570,843,4.763498273,3.461853504,0,52.77690506,890,1026.2,583,3.81918252
3018,19.0794,81.3011,19.08125,81.30207,644.8308084,617,327,1381,6.741576508,3.336306095,0,92.39456177,17270,17995.6,329,4.916892403
3019,18.5622,77.5831,18.56041,77.58123,500.7325705,503,357,688,3.77639872,2.828687668,0,32.14984512,1900,1922.9,361,4.906524009
3020,19.2203,76.3633,19.21867,76.36458,577.5161957,553,385,1528,4.015958201,1.686703444,0,156.9631348,30840,30771.2,387,4.78567691
3021,19.8061,73.7467,19.80205,73.74374,651.7159625,608,563,1386,11.1163868,5.472046375,0,105.0995255,404,389.3,562,8.816705067
3022,16.9383,81.7825,16.95626,81.75208,434.1583615,423,-25,1664,4.911036134,2.133529902,0,156.9631348,311150,308433.8,7,4.872678802
3023,17.8372,80.8861,17.83533,80.88126,433.9983336,427,25,1528,4.111503626,2.004624128,0,156.9631348,279745,276883.2,53,4.227262829
3024,18.8289,78.4367,18.82708,78.43542,429.5074944,409,314,667,3.422843514,1.968824387,0,45.60498047,1360,1426.7,318,4.278484476
3025,18.9789,76.7547,18.98124,76.7562,567.6996533,545,364,1528,3.933443064,1.686703444,0,156.9631348,33934,33746.2,368,4.756863563
3026,20.04,73.6794,20.03541,73.68125,702.2433441,705,579,1116,7.597974936,4.565018654,0,82.7000885,357.4,362,599,7.837797677
3027,18.4461,79.7039,18.44788,79.70627,211.9027185,207,154,493,3.084473487,1.52037394,0,73.2321167,782,802,157,2.07182341
3028,19.9472,79.0892,19.94791,79.08959,336.4648941,309,118,946,2.84445725,1.600147367,0,108.7554245,21429,19925.2,173,3.358350356
3029,19.0217,76.7292,19.02292,76.73124,568.8862464,546,364,1528,3.951173212,1.686703444,0,156.9631348,33934,33497.3,374,4.777294299
3030,20.5472,78.3247,20.54791,78.32295,394.5460203,366,232,946,3.247171636,1.738614082,0,108.7554245,10240,10292.8,237,3.912982292
3031,19.1081,82.0228,19.11041,82.02286,696.9948081,622,532,1381,8.794801201,3.578038216,0,92.39456177,7380,7339.7,538,5.208365232
3032,19.4872,75.3711,19.48542,75.3729,603.6541424,577,432,1528,4.302300912,1.707657099,0,156.9631348,22410,22229.9,454,5.114212755
3033,18.4531,82.5461,18.45624,82.54791,1040.803649,1017,827,1664,20.32379307,18.1232338,0,100.9295044,1963,1981.5,828,10.56984605
3034,18.8111,78.0653,18.81041,78.06876,418.9641907,404,344,628,3.223474731,1.686703444,0,40.86645889,578,609.5,345,3.462489619
3035,18.9492,82.4056,18.94794,82.40623,853.3526479,888,548,1655,12.6868122,7.62988615,0,108.2779541,1468,2541.8,549,6.828147998
3036,18.8139,79.9189,18.81461,79.91459,434.2800878,430,72,1528,3.42208133,1.789019108,0,156.9631348,226970,224775.6,97,3.846902838
3037,19.7817,78.7619,19.77709,78.76458,412.4638034,410,191,740,3.700641323,2.004624128,0,64.86959076,21741,22379.5,210,3.593135798
3038,19.9611,77.1481,19.96041,77.14791,562.8214101,550,468,740,2.0887937,1.622219443,0,19.44652748,3515,3519.2,470,2.525515799
3039,20.4417,78.5936,20.43125,78.59376,386.824687,360,210,946,3.205564192,1.738614082,0,108.7554245,11438,11008.9,227,3.855210925
3040,22.3819,79.9,22.38124,79.89793,611.5832207,605,430,1028,4.253159706,2.451529264,0,59.14565659,2970,3059.2,442,4.900251163
3041,18.2967,81.5725,18.2979,81.57293,411.367223,352,160,1197,7.092174886,3.887659311,0,74.72900391,766,781.6,169,9.217554665
3042,19.6397,81.54,19.63961,81.54379,634.9989325,633,569,838,3.090513936,2.458771706,0,49.44659424,910,1553.1,576,2.541541403
3043,17.4875,81.3875,17.48542,81.3854,436.1068997,425,11,1664,4.773591943,2.108379364,0,156.9631348,305460,304628.7,83,4.78890407
3044,21.9036,79.2322,21.89792,79.23127,729.0189847,704,544,1204,5.026931404,3.296090961,0,59.39645386,2000,3267.8,556,6.441359451
3045,17.7989,81.3928,17.79779,81.39374,563.6983117,557,34,1664,12.76588259,6.248775005,0,141.7036743,19550,20333.8,36,10.63455307
3046,19.8783,74.4819,19.87704,74.4812,631.4224184,615,484,1528,4.360153379,1.789019108,0,156.9631348,6840,7063.7,493,5.617190628
3047,19.2772,82.2333,19.27711,82.23542,617.5735212,610,549,929,3.362185956,2.458771706,0,65.47418976,1635,1674.8,553,2.686543824
3048,21.8842,80.175,21.8854,80.17707,533.1835456,533,291,1028,4.506841448,2.515959978,0,73.57512665,8070,8432.2,291,5.08582885
3049,17.5731,81.25,17.56875,81.24792,428.8155115,421,17,1528,4.152935959,2.03105998,0,156.9631348,284880,282524.5,30,4.2444945
3050,18.1992,82.6503,18.19791,82.65208,1092.741328,1082,862,1623,23.18320936,21.76844215,0,93.47480011,713,724.1,869,12.45465871
3051,19.9367,74.9856,19.93527,74.98541,625.7096629,608,503,951,4.130784075,1.707657099,0,84.45021057,1330,1231.2,509,3.805680174
3052,21.5847,78.8561,21.58543,78.86037,512.1883,494,324,811,5.984087598,4.118631363,0,43.92235184,1625,1084.8,328,7.535465643
3053,19.7961,77.7706,19.79792,77.77292,433.989987,441,270,572,5.171920159,2.537073374,0,48.32486343,2600,1574.1,285,5.522557833
3054,21.4786,79.9256,21.48124,79.91873,460.0629875,454,255,1028,4.534718614,2.362890244,0,116.3840637,15600,18509,271,5.033441589
3055,18.8358,79.4447,18.83542,79.44792,518.0094385,521,124,1528,3.206468379,1.738614082,0,156.9631348,102900,101456.2,127,3.791222333
3056,20.1889,77.9869,20.18962,77.98538,395.478865,392,284,570,2.807563656,2.004624128,0,29.94551849,2500,2187.4,288,3.008478088
