gauge_id,water_frac,trees_frac,flooded_veg_frac,crops_frac,built_area_frac,bare_frac,range_frac,dom_land_cover,dom_land_cover_frac,lai_mean,lai_min,lai_max,lai_diff
12051,0.010647,0.000216,0.000000,0.842322,0.022833,0.000000,0.123982,crops,0.842322,0.649,0.352,1.130,0.777
12052,0.042715,0.012899,0.000000,0.611026,0.016425,0.000022,0.316913,crops,0.611026,0.796,0.356,1.266,0.910
13001,0.021693,0.000557,0.000000,0.828872,0.016756,0.000000,0.132123,crops,0.828872,0.516,0.232,0.837,0.604
13002,0.018487,0.003474,0.000000,0.701162,0.032476,0.000000,0.244401,crops,0.701162,0.715,0.360,1.253,0.892
13003,0.010299,0.035739,0.000149,0.616543,0.024028,0.000057,0.313185,crops,0.616543,0.867,0.271,8.944,8.673
13004,0.008448,0.089901,0.000000,0.357197,0.012012,0.000036,0.532406,rangeland,0.532406,1.061,0.380,7.643,7.263
13005,0.021184,0.004523,0.000000,0.724503,0.040641,0.000061,0.209089,crops,0.724503,0.683,0.196,7.105,6.910
13006,0.007816,0.111434,0.000000,0.353056,0.010832,0.000042,0.516821,rangeland,0.516821,1.113,0.437,7.643,7.206
13007,0.021508,0.022407,0.000076,0.658167,0.028850,0.000100,0.268893,crops,0.658167,0.790,0.196,8.944,8.748
13008,0.014058,0.023669,0.000090,0.660073,0.028474,0.000099,0.273538,crops,0.660073,0.799,0.196,8.944,8.748
13009,0.022993,0.007292,0.000000,0.697682,0.052565,0.000064,0.219403,crops,0.697682,0.675,0.196,7.105,6.910
13010,0.008857,0.015934,0.000021,0.778531,0.032335,0.000074,0.164248,crops,0.778531,0.784,0.271,7.598,7.327
13011,0.010003,0.035978,0.000150,0.615534,0.023350,0.000037,0.314947,crops,0.615534,0.868,0.271,8.944,8.673
13012,0.006880,0.012358,0.000034,0.792006,0.037657,0.000071,0.150994,crops,0.792006,0.783,0.345,7.557,7.213
13013,0.017457,0.002643,0.000008,0.683229,0.026986,0.000098,0.269579,crops,0.683229,0.624,0.280,1.509,1.229
13014,0.008417,0.098635,0.000000,0.355297,0.010952,0.000040,0.526660,rangeland,0.526660,1.089,0.405,7.643,7.238
13015,0.001889,0.036718,0.000000,0.636071,0.022375,0.000001,0.302946,crops,0.636071,0.948,0.570,7.362,6.792
13016,0.014192,0.022215,0.000084,0.665897,0.028058,0.000099,0.269454,crops,0.665897,0.786,0.196,8.944,8.748
13017,0.013700,0.026854,0.000105,0.655486,0.028454,0.000068,0.275334,crops,0.655486,0.820,0.196,8.944,8.748
13018,0.015534,0.000127,0.000000,0.640570,0.018904,0.000067,0.324798,crops,0.640570,0.525,0.198,0.830,0.632
13019,0.016857,0.000463,0.000000,0.759294,0.018785,0.000084,0.204517,crops,0.759294,0.526,0.227,1.423,1.197
13020,0.009108,0.000789,0.000000,0.582577,0.019900,0.000041,0.387584,crops,0.582577,0.625,0.296,0.890,0.594
13021,0.021692,0.022313,0.000083,0.658106,0.030089,0.000103,0.267613,crops,0.658106,0.790,0.196,8.944,8.748
13022,0.011330,0.000754,0.000000,0.852089,0.029386,0.000000,0.106441,crops,0.852089,0.715,0.353,1.172,0.819
13023,0.016424,0.005194,0.000000,0.820989,0.025736,0.000007,0.131649,crops,0.820989,0.783,0.437,6.991,6.554
13024,0.021437,0.020627,0.000076,0.660058,0.028198,0.000089,0.269515,crops,0.660058,0.785,0.196,8.944,8.748
13025,0.009461,0.012233,0.000023,0.751954,0.029567,0.000047,0.196714,crops,0.751954,0.776,0.271,7.710,7.440
14001,0.012345,0.282747,0.000000,0.216305,0.068547,0.000463,0.419593,rangeland,0.419593,1.234,0.484,7.579,7.096
14002,0.007020,0.604957,0.000000,0.053428,0.020783,0.000113,0.313698,trees,0.604957,1.580,0.716,7.131,6.416
14003,0.034203,0.149418,0.000072,0.205359,0.020894,0.000049,0.590006,rangeland,0.590006,1.068,0.243,7.645,7.402
14004,0.010652,0.208078,0.000000,0.222029,0.040690,0.000029,0.518521,rangeland,0.518521,1.335,0.552,7.684,7.132
14005,0.003632,0.891401,0.000000,0.005543,0.008087,0.000021,0.091317,trees,0.891401,2.631,0.659,4.501,3.842
14006,0.030959,0.085980,0.000000,0.263299,0.011068,0.000012,0.608682,rangeland,0.608682,0.912,0.209,7.391,7.182
14007,0.005245,0.363750,0.000000,0.049376,0.020139,0.000122,0.561369,rangeland,0.561369,1.295,0.595,7.432,6.837
14008,0.009224,0.173447,0.000000,0.317383,0.026560,0.000059,0.473326,rangeland,0.473326,1.191,0.563,7.616,7.053
14009,0.005467,0.254777,0.000047,0.039697,0.029364,0.000130,0.670519,rangeland,0.670519,1.248,0.630,1.867,1.237
14010,0.009657,0.500118,0.000000,0.039353,0.042725,0.000029,0.408119,trees,0.500118,1.579,0.842,4.293,3.451
14011,0.010068,0.325389,0.000000,0.110786,0.028582,0.000161,0.525013,rangeland,0.525013,1.293,0.764,1.856,1.092
14012,0.011282,0.060904,0.000000,0.314725,0.014405,0.000003,0.598680,rangeland,0.598680,0.867,0.463,7.155,6.692
14013,0.004425,0.628842,0.000000,0.004496,0.024324,0.000006,0.337907,trees,0.628842,1.654,0.702,4.483,3.781
14014,0.008638,0.085834,0.000000,0.245296,0.009493,0.000031,0.650708,rangeland,0.650708,0.939,0.569,7.391,6.822
